"AverageShortestPathLength","BetweennessCentrality","ClosenessCentrality","ClusteringCoefficient","Eccentricity","EdgeCount","GENE1_INTERACTIONS_AS_BD","GENE1_INTERACTIONS_TOTAL","GENE2_INTERACTIONS_AS_AD","GENE2_INTERACTIONS_TOTAL","Indegree","IsSingleNode","name","NeighborhoodConnectivity","Outdegree","PartnerOfMultiEdgedNodePairs","selected","SelfLoops","shared name","Stress","SYMBOL_AD","SYMBOL_BD"
"0.0","0.0","0.0","0.04044117647058824","0","17",,,"18","18","17","false","FBgn0262081","38.588235294117645","0","0","false","0","FBgn0262081","0","Csk",
"1.0","0.0","1.0","0.0","1","1","1","1",,,"0","false","FBgn0003317","11.0","1","0","false","0","FBgn0003317","0",,"sax"
"0.0","0.0","0.0","0.0","0","11",,,"11","11","11","false","FBgn0026059","12.818181818181818","0","0","false","0","FBgn0026059","0","Mhcl",
"9.788010425716768","0.0","0.10216580862772945","0.0","19","2","2","2",,,"0","false","FBgn0003380","9.0","2","0","false","0","FBgn0003380","0",,"Sh"
"8.837391304347825","0.4782544517778906","0.11315556430187937","0.0","18","8","6","9","3","9","3","false","FBgn0000479","24.625","5","0","false","0","FBgn0000479","8493736","dnc","dnc"
"1.0","0.2943429898921522","1.0","0.0","1","11","3","11","8","11","8","false","FBgn0001624","14.0","3","1","false","0","FBgn0001624","4856388","dlg1","dlg1"
"1.0","0.0","1.0","0.0","1","1","1","1",,,"0","false","FBgn0003462","1.0","1","0","false","0","FBgn0003462","0",,"Sod1"
"0.0","0.0","0.0","0.0","0","1",,,"1","1","1","false","FBgn0010531","1.0","0","0","false","0","FBgn0010531","0","Ccs",
"6.637630662020906","21.265252536418984","0.1506561679790026","0.018867924528301886","15","53","15","54","39","54","38","false","FBgn0003479","27.18867924528302","15","0","false","0","FBgn0003479","409260691","spn-A","spn-A"
"1.0","0.2662438510449966","1.0","0.0","1","6","3","6","3","6","3","false","FBgn0004133","16.666666666666668","3","0","false","0","FBgn0004133","4931725","blow","blow"
"11.509581881533101","5.661246642500222","0.08688412926663135","0.0","22","21","9","22","13","22","12","false","FBgn0011244","8.2","9","1","false","0","FBgn0011244","111008858","Hsp60B","Hsp60B"
"0.0","0.0","0.0","0.0","0","4",,,"4","4","4","false","FBgn0024989","38.5","0","0","false","0","FBgn0024989","0","CG3777",
"0.0","0.0","0.0","0.0","0","3",,,"3","3","3","false","FBgn0026751","28.333333333333332","0","0","false","0","FBgn0026751","0","XRCC1",
"0.0","0.0","0.0","0.0","0","1",,,"1","1","1","false","FBgn0029512","53.0","0","0","false","0","FBgn0029512","0","Aos1",
"0.0","0.0","0.0","0.0","0","6",,,"8","8","6","false","FBgn0030328","36.333333333333336","0","0","false","0","FBgn0030328","0","Amun",
"7.928571428571429","10.124066598975578","0.12612612612612611","0.01818181818181818","14","12","3","12","9","12","9","false","FBgn0030630","17.90909090909091","3","1","false","0","FBgn0030630","209764103","CG12608","CG12608"
"0.0","0.0","0.0","0.023809523809523808","0","7",,,"7","7","7","false","FBgn0033225","35.714285714285715","0","0","false","0","FBgn0033225","0","TTLL12",
"0.0","0.0","0.0","0.0","0","3",,,"3","3","3","false","FBgn0036298","25.666666666666668","0","0","false","0","FBgn0036298","0","nst",
"0.0","0.0","0.0","0.0","0","1",,,"1","1","1","false","FBgn0036660","53.0","0","0","false","0","FBgn0036660","0","CG13025",
